,Platform,Shear Modulus (kPa),Region
1,Q-box,4.53,Center
2,Q-box,4.06,Center
3,Q-box,4.67,Center
4,Q-box,4.38,Center
5,Q-box,5.33,Center
6,Q-box,3.95,Center
7,Q-box,6.14,Center
8,Q-box,4.13,Center
9,Q-box,4.66,Center
10,Q-box,3.91,Center
11,ElastoGUI,4.02489,Center
12,ElastoGUI,3.63338,Center
13,ElastoGUI,4.20654,Center
14,ElastoGUI,4.05457,Center
15,ElastoGUI,4.98644,Center
16,ElastoGUI,3.5324,Center
17,ElastoGUI,5.6793,Center
18,ElastoGUI,3.62167,Center
19,ElastoGUI,4.17548,Center
20,ElastoGUI,3.51843,Center
21,Q-box,4.80333,Full
22,Q-box,4.67667,Full
23,Q-box,5.21,Full
24,Q-box,4.58667,Full
25,Q-box,5.65333,Full
26,Q-box,4.93667,Full
27,Q-box,7.35333,Full
28,Q-box,4.47667,Full
29,Q-box,4.66333,Full
30,Q-box,4.15,Full
31,ElastoGUI,4.2918,Full
32,ElastoGUI,4.17463,Full
33,ElastoGUI,4.76523,Full
34,ElastoGUI,4.06023,Full
35,ElastoGUI,5.12693,Full
36,ElastoGUI,4.4006,Full
37,ElastoGUI,6.79146,Full
38,ElastoGUI,3.98273,Full
39,ElastoGUI,4.17908,Full
40,ElastoGUI,3.61587,Full
